	Number of genomes	Effect size	Replicate	Rank of causal gene
203	150	1.5	11	1.0
204	150	1.5	12	1.0
205	150	1.5	13	1.0
206	150	1.5	14	1.0
207	150	1.5	15	1.0
208	150	1.5	16	1.0
209	150	1.5	17	1.0
210	150	1.5	18	1.0
211	150	1.5	19	1.0
212	150	1.5	2	1.0
213	150	1.5	3	1.0
214	150	1.5	4	1.0
215	150	1.5	5	1.0
216	150	1.5	6	1.0
217	150	1.5	7	1.0
218	150	1.5	8	1.0
219	150	1.5	9	1.0
220	150	2.5	0	1.0
221	150	2.5	1	1.0
222	150	2.5	10	1.0
223	150	2.5	11	1.0
224	150	2.5	12	1.0
225	150	2.5	13	1.0
226	150	2.5	14	1.0
227	150	2.5	15	1.0
228	150	2.5	16	1.0
229	150	2.5	17	1.0
230	150	2.5	18	1.0
231	150	2.5	19	1.0
232	150	2.5	2	1.0
233	150	2.5	3	1.0
234	150	2.5	4	1.0
235	150	2.5	5	1.0
236	150	2.5	6	1.0
237	150	2.5	7	1.0
238	150	2.5	8	1.0
239	150	2.5	9	1.0
240	150	2.0	0	1.0
241	150	2.0	1	1.0
242	150	2.0	10	1.0
243	150	2.0	11	1.0
244	150	2.0	12	1.0
245	150	2.0	13	1.0
246	150	2.0	14	1.0
247	150	2.0	15	1.0
248	150	2.0	16	1.0
249	150	2.0	17	1.0
250	150	2.0	18	1.0
251	150	2.0	19	1.0
252	150	2.0	2	1.0
253	150	2.0	3	1.0
254	150	2.0	4	1.0
255	150	2.0	5	1.0
256	150	2.0	6	1.0
257	150	2.0	7	1.0
258	150	2.0	8	1.0
259	150	2.0	9	1.0
260	150	3.0	0	1.0
261	150	3.0	1	1.0
262	150	3.0	10	1.0
263	150	3.0	11	1.0
264	150	3.0	12	1.0
265	150	3.0	13	1.0
266	150	3.0	14	1.0
267	150	3.0	15	1.0
268	150	3.0	16	1.0
269	150	3.0	17	1.0
270	150	3.0	18	1.0
271	150	3.0	19	1.0
272	150	3.0	2	1.0
273	150	3.0	3	1.0
274	150	3.0	4	1.0
275	150	3.0	5	1.0
276	150	3.0	6	1.0
277	150	3.0	7	1.0
278	150	3.0	8	1.0
279	150	3.0	9	1.0
280	200	0.5	0	16.0
281	200	0.5	1	46.0
282	200	0.5	10	
283	200	0.5	11	
284	200	0.5	12	142.0
285	200	0.5	13	
286	200	0.5	14	24.0
287	200	0.5	15	
288	200	0.5	16	42.0
289	200	0.5	17	1.0
290	200	0.5	18	
291	200	0.5	19	48.0
292	200	0.5	2	122.0
293	200	0.5	3	5.0
294	200	0.5	4	250.0
295	200	0.5	5	2.0
296	200	0.5	6	74.0
297	200	0.5	7	69.0
298	200	0.5	8	33.0
299	200	0.5	9	1.0
300	200	0.75	0	1.0
301	200	0.75	1	1.0
302	200	0.75	10	21.0
303	200	0.75	11	28.0
304	200	0.75	12	1.0
305	200	0.75	13	59.0
306	200	0.75	14	1.0
307	200	0.75	15	131.0
308	200	0.75	16	1.0
309	200	0.75	17	1.0
310	200	0.75	18	119.0
311	200	0.75	19	2.0
312	200	0.75	2	32.0
313	200	0.75	3	1.0
314	200	0.75	4	1.0
315	200	0.75	5	1.0
316	200	0.75	6	1.0
317	200	0.75	7	13.0
318	200	0.75	8	1.0
319	200	0.75	9	1.0
320	200	1.0	0	1.0
321	200	1.0	1	1.0
322	200	1.0	10	40.0
323	200	1.0	11	1.0
324	200	1.0	12	1.0
325	200	1.0	13	1.0
326	200	1.0	14	9.0
327	200	1.0	15	1.0
328	200	1.0	16	1.0
329	200	1.0	17	1.0
330	200	1.0	18	1.0
331	200	1.0	19	1.0
332	200	1.0	2	1.0
333	200	1.0	3	1.0
334	200	1.0	4	1.0
335	200	1.0	5	1.0
336	200	1.0	6	1.0
337	200	1.0	7	1.0
338	200	1.0	8	1.0
339	200	1.0	9	1.0
340	200	1.5	0	1.0
341	200	1.5	1	1.0
342	200	1.5	10	1.0
343	200	1.5	11	1.0
344	200	1.5	12	1.0
345	200	1.5	13	1.0
346	200	1.5	14	1.0
347	200	1.5	15	1.0
348	200	1.5	16	1.0
349	200	1.5	17	1.0
350	200	1.5	18	1.0
351	200	1.5	19	1.0
352	200	1.5	2	1.0
353	200	1.5	3	1.0
354	200	1.5	4	1.0
355	200	1.5	5	1.0
356	200	1.5	6	1.0
357	200	1.5	7	1.0
358	200	1.5	8	1.0
359	200	1.5	9	1.0
360	200	2.5	0	1.0
361	200	2.5	1	1.0
362	200	2.5	10	1.0
363	200	2.5	11	1.0
364	200	2.5	12	1.0
365	200	2.5	13	1.0
366	200	2.5	14	1.0
367	200	2.5	15	1.0
368	200	2.5	16	1.0
369	200	2.5	17	1.0
370	200	2.5	18	1.0
371	200	2.5	19	1.0
372	200	2.5	2	1.0
373	200	2.5	3	1.0
374	200	2.5	4	1.0
375	200	2.5	5	1.0
376	200	2.5	6	1.0
377	200	2.5	7	1.0
378	200	2.5	8	1.0
379	200	2.5	9	1.0
380	200	2.0	0	1.0
381	200	2.0	1	1.0
382	200	2.0	10	1.0
383	200	2.0	11	1.0
384	200	2.0	12	1.0
385	200	2.0	13	1.0
386	200	2.0	14	1.0
387	200	2.0	15	1.0
388	200	2.0	16	1.0
389	200	2.0	17	1.0
390	200	2.0	18	1.0
391	200	2.0	19	1.0
392	200	2.0	2	1.0
393	200	2.0	3	1.0
394	200	2.0	4	1.0
395	200	2.0	5	1.0
396	200	2.0	6	1.0
397	200	2.0	7	1.0
398	200	2.0	8	1.0
399	200	2.0	9	1.0
400	200	3.0	0	1.0
401	200	3.0	1	1.0
402	200	3.0	10	1.0
403	200	3.0	11	1.0
404	200	3.0	12	1.0
405	200	3.0	13	1.0
406	200	3.0	14	1.0
407	200	3.0	15	1.0
408	200	3.0	16	1.0
409	200	3.0	17	1.0
410	200	3.0	18	1.0
411	200	3.0	19	1.0
412	200	3.0	2	1.0
413	200	3.0	3	1.0
414	200	3.0	4	1.0
415	200	3.0	5	1.0
416	200	3.0	6	1.0
417	200	3.0	7	1.0
418	200	3.0	8	1.0
419	200	3.0	9	1.0
420	25	0.5	0	76.0
421	25	0.5	1	
422	25	0.5	10	60.0
423	25	0.5	11	
424	25	0.5	12	
425	25	0.5	13	
426	25	0.5	14	
427	25	0.5	15	
428	25	0.5	16	
429	25	0.5	17	
430	25	0.5	18	
431	25	0.5	19	
432	25	0.5	2	
433	25	0.5	3	
434	25	0.5	4	
435	25	0.5	5	
436	25	0.5	6	
437	25	0.5	7	
438	25	0.5	8	
439	25	0.5	9	
440	25	0.75	0	76.0
441	25	0.75	1	
442	25	0.75	10	1.0
443	25	0.75	11	
444	25	0.75	12	
445	25	0.75	13	
446	25	0.75	14	
447	25	0.75	15	
448	25	0.75	16	
449	25	0.75	17	
450	25	0.75	18	
451	25	0.75	19	
452	25	0.75	2	
453	25	0.75	3	
454	25	0.75	4	
455	25	0.75	5	
456	25	0.75	6	
457	25	0.75	7	
458	25	0.75	8	
459	25	0.75	9	
460	25	1.0	0	
461	25	1.0	1	
462	25	1.0	10	75.0
463	25	1.0	11	
464	25	1.0	12	
465	25	1.0	13	
466	25	1.0	14	
467	25	1.0	15	
468	25	1.0	16	33.0
469	25	1.0	17	
470	25	1.0	18	1.0
471	25	1.0	19	
472	25	1.0	2	
473	25	1.0	3	7.0
474	25	1.0	4	
475	25	1.0	5	
476	25	1.0	6	
477	25	1.0	7	14.0
478	25	1.0	8	28.0
479	25	1.0	9	5.0
480	25	1.5	0	29.0
481	25	1.5	1	
482	25	1.5	10	
483	25	1.5	11	9.0
484	25	1.5	12	
485	25	1.5	13	99.0
486	25	1.5	14	5.0
487	25	1.5	15	2.0
488	25	1.5	16	21.0
489	25	1.5	17	1.0
490	25	1.5	18	
491	25	1.5	19	
492	25	1.5	2	1.0
493	25	1.5	3	
494	25	1.5	4	
495	25	1.5	5	35.0
496	25	1.5	6	7.0
497	25	1.5	7	14.0
498	25	1.5	8	1.0
499	25	1.5	9	58.0
500	25	2.5	0	1.0
501	25	2.5	1	1.0
502	25	2.5	10	1.0
503	25	2.5	11	1.0
504	25	2.5	12	
505	25	2.5	13	1.0
506	25	2.5	14	1.0
507	25	2.5	15	1.0
508	25	2.5	16	50.0
509	25	2.5	17	
510	25	2.5	18	5.0
511	25	2.5	19	14.0
512	25	2.5	2	1.0
513	25	2.5	3	1.0
514	25	2.5	4	1.0
515	25	2.5	5	1.0
516	25	2.5	6	1.0
517	25	2.5	7	117.0
518	25	2.5	8	19.0
519	25	2.5	9	5.0
520	25	2.0	0	
521	25	2.0	1	1.0
522	25	2.0	10	6.0
